key,age,gender,segment,segcode,interest,benefit,payment_term,coverage_period
46-male-20PLN-33.22,46,male,AIA 20 Pay Life (Non Par),PLN 20.00,33.22,0,20,99
47-male-20PLN-34.28,47,male,AIA 20 Pay Life (Non Par),PLN 20.00,34.28,0,20,99
48-male-20PLN-35.4,48,male,AIA 20 Pay Life (Non Par),PLN 20.00,35.4,0,20,99
49-male-20PLN-36.57,49,male,AIA 20 Pay Life (Non Par),PLN 20.00,36.57,0,20,99
50-male-20PLN-37.81,50,male,AIA 20 Pay Life (Non Par),PLN 20.00,37.81,0,20,99
51-male-20PLN-39.13,51,male,AIA 20 Pay Life (Non Par),PLN 20.00,39.13,0,20,99
52-male-20PLN-40.51,52,male,AIA 20 Pay Life (Non Par),PLN 20.00,40.51,0,20,99
53-male-20PLN-41.99,53,male,AIA 20 Pay Life (Non Par),PLN 20.00,41.99,0,20,99
54-male-20PLN-43.56,54,male,AIA 20 Pay Life (Non Par),PLN 20.00,43.56,0,20,99
55-male-20PLN-45.25,55,male,AIA 20 Pay Life (Non Par),PLN 20.00,45.25,0,20,99
56-male-20PLN-47.05,56,male,AIA 20 Pay Life (Non Par),PLN 20.00,47.05,0,20,99
57-male-20PLN-48.99,57,male,AIA 20 Pay Life (Non Par),PLN 20.00,48.99,0,20,99
58-male-20PLN-51.08,58,male,AIA 20 Pay Life (Non Par),PLN 20.00,51.08,0,20,99
59-male-20PLN-53.33,59,male,AIA 20 Pay Life (Non Par),PLN 20.00,53.33,0,20,99
60-male-20PLN-55.77,60,male,AIA 20 Pay Life (Non Par),PLN 20.00,55.77,0,20,99
61-male-20PLN-58.42,61,male,AIA 20 Pay Life (Non Par),PLN 20.00,58.42,0,20,99
62-male-20PLN-61.29,62,male,AIA 20 Pay Life (Non Par),PLN 20.00,61.29,0,20,99
63-male-20PLN-64.19,63,male,AIA 20 Pay Life (Non Par),PLN 20.00,64.19,0,20,99
64-male-20PLN-66.96,64,male,AIA 20 Pay Life (Non Par),PLN 20.00,66.96,0,20,99
65-male-20PLN-69.89,65,male,AIA 20 Pay Life (Non Par),PLN 20.00,69.89,0,20,99
66-male-20PLN-71.99,66,male,AIA 20 Pay Life (Non Par),PLN 20.00,71.99,0,20,99
67-male-20PLN-73.8,67,male,AIA 20 Pay Life (Non Par),PLN 20.00,73.8,0,20,99
68-male-20PLN-75.13,68,male,AIA 20 Pay Life (Non Par),PLN 20.00,75.13,0,20,99
69-male-20PLN-76.4,69,male,AIA 20 Pay Life (Non Par),PLN 20.00,76.4,0,20,99
70-male-20PLN-78.11,70,male,AIA 20 Pay Life (Non Par),PLN 20.00,78.11,0,20,99
71-male-20PLN-0,71,male,AIA 20 Pay Life (Non Par),PLN 20.00,0,0,20,99
72-male-20PLN-0,72,male,AIA 20 Pay Life (Non Par),PLN 20.00,0,0,20,99
73-male-20PLN-0,73,male,AIA 20 Pay Life (Non Par),PLN 20.00,0,0,20,99
74-male-20PLN-0,74,male,AIA 20 Pay Life (Non Par),PLN 20.00,0,0,20,99
