key,age,gender,segment,segcode,interest,benefit,payment_term,coverage_period
8-male-HHM1-0,8,male,"HH 1,000,000",HHM1,0,0,99,99
100-male-HHM5-0,100,male,"HH 5,000,000",HHM5,0,0,99,99
0-male-HHM15-0,0,male,"HH 15,000,000",HHM15,0,0,99,99
22-male-HHM15-21600,22,male,"HH 15,000,000",HHM15,21600,0,99,99
27-male-HHM15-26100,27,male,"HH 15,000,000",HHM15,26100,0,99,99
28-male-HHM15-26100,28,male,"HH 15,000,000",HHM15,26100,0,99,99
29-male-HHM15-26100,29,male,"HH 15,000,000",HHM15,26100,0,99,99
30-male-HHM15-26100,30,male,"HH 15,000,000",HHM15,26100,0,99,99
31-male-HHM15-29400,31,male,"HH 15,000,000",HHM15,29400,0,99,99
32-male-HHM15-29400,32,male,"HH 15,000,000",HHM15,29400,0,99,99
33-male-HHM15-29400,33,male,"HH 15,000,000",HHM15,29400,0,99,99
34-male-HHM15-29400,34,male,"HH 15,000,000",HHM15,29400,0,99,99
35-male-HHM15-29400,35,male,"HH 15,000,000",HHM15,29400,0,99,99
35-male-HHM25-37800,35,male,"HH 25,000,000",HHM25,37800,0,99,99
15-female-HHF25-27900,15,female,"HH 25,000,000",HHF25,27900,0,99,99
16-female-HHF25-30300,16,female,"HH 25,000,000",HHF25,30300,0,99,99
17-female-HHF25-30300,17,female,"HH 25,000,000",HHF25,30300,0,99,99
18-female-HHF25-30300,18,female,"HH 25,000,000",HHF25,30300,0,99,99
19-female-HHF25-30300,19,female,"HH 25,000,000",HHF25,30300,0,99,99
68-female-HHF25-139300,68,female,"HH 25,000,000",HHF25,139300,0,99,99
27-male-Infinite_Care_M_120M_xUS-97320,27,male,Infinite Care (new standard) 120M no US,Infinite_Care_M_120M_xUS,97320,0,99,99
28-male-Infinite_Care_M_120M_xUS-99000,28,male,Infinite Care (new standard) 120M no US,Infinite_Care_M_120M_xUS,99000,0,99,99
29-male-Infinite_Care_M_120M_xUS-100620,29,male,Infinite Care (new standard) 120M no US,Infinite_Care_M_120M_xUS,100620,0,99,99
30-male-Infinite_Care_M_120M_xUS-101940,30,male,Infinite Care (new standard) 120M no US,Infinite_Care_M_120M_xUS,101940,0,99,99
31-male-Infinite_Care_M_120M_xUS-102900,31,male,Infinite Care (new standard) 120M no US,Infinite_Care_M_120M_xUS,102900,0,99,99
32-male-Infinite_Care_M_120M_xUS-103860,32,male,Infinite Care (new standard) 120M no US,Infinite_Care_M_120M_xUS,103860,0,99,99
33-male-Infinite_Care_M_120M_xUS-104700,33,male,Infinite Care (new standard) 120M no US,Infinite_Care_M_120M_xUS,104700,0,99,99
35-male-Infinite_Care_M_120M_xUS-106920,35,male,Infinite Care (new standard) 120M no US,Infinite_Care_M_120M_xUS,106920,0,99,99
36-male-Infinite_Care_M_120M_xUS-108180,36,male,Infinite Care (new standard) 120M no US,Infinite_Care_M_120M_xUS,108180,0,99,99
37-male-Infinite_Care_M_120M_xUS-109260,37,male,Infinite Care (new standard) 120M no US,Infinite_Care_M_120M_xUS,109260,0,99,99
38-male-Infinite_Care_M_120M_xUS-109800,38,male,Infinite Care (new standard) 120M no US,Infinite_Care_M_120M_xUS,109800,0,99,99
39-male-Infinite_Care_M_120M_xUS-110760,39,male,Infinite Care (new standard) 120M no US,Infinite_Care_M_120M_xUS,110760,0,99,99
40-male-Infinite_Care_M_120M_xUS-111540,40,male,Infinite Care (new standard) 120M no US,Infinite_Care_M_120M_xUS,111540,0,99,99
